,id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,T
119024,119026,,,,NN 3911,,,15.561010999999999,46.250131,19.6078,16.56,189.28,0.0,13.58,12.118,m,,-8.081323,-10.88757,14.163998999999999,9.01e-06,9.5e-06,1.244e-05,4.073863137257275,0.8072170627970999,8.028514549999998e-08,9.17635942e-07,,,,1,119026,,0.001238226230958992,,,,
119025,119027,,,,GJ 1193,,,15.575182,14.268972,20.6612,-674.16,-146.99,0.0,13.83,12.254000000000001,M3.5,1.57,-11.874777,-16.122711,5.092453,-5.653e-05,3.711e-05,-1.427e-05,4.077573110004559,0.24904053761855,-3.2684199088333336e-06,-7.126276290000001e-07,,,,1,119027,,0.0010924460532267916,,,,3691.1685428724395
119026,119028,,,,Gl 589A,,,15.588991,17.71319,14.245,-1200.98,-147.46,-43.2,12.41,11.642000000000001,M4.5:,1.58,-8.006574,-10.953242,4.333403,-4.397e-05,8.04e-05,-2.314e-05,4.081188313232963,0.30915348144495003,-5.822515340736111e-06,-7.149111009999999e-07,,,,1,119028,Gl 589,0.0019195525237613797,,,,3677.014628784035
119027,119029,,,,Gl 589B,,,15.588991,17.71319,14.245,-1200.98,-147.46,0.0,14.99,14.222000000000001,M6,1.81,-8.007814999999999,-10.954941,4.334075,-6.88e-05,4.642e-05,-9.7e-06,4.081188313232963,0.30915348144495003,-5.822515340736111e-06,-7.149111009999999e-07,,,,2,119028,Gl 589,0.00017831997722329162,,,,3379.885043253952
119028,119030,,,,Gl 590,,,15.609725,-37.901036,12.2549,-329.07,-826.93,0.0,12.8,12.357999999999999,M4,1.6,-5.664121,-7.837528,-7.528178,1.82e-06,3.59e-05,-3.877e-05,4.086616381181069,-0.6614978707611999,-1.5953763786041662e-06,-4.009055224e-06,,,,1,119030,,0.0009926588068710296,,,,3649.041927573727
119029,119031,,,,NN 3913,,,15.596166,22.150714,18.797,-730.27,-119.59,0.0,12.69,11.32,k-m,1.51,-10.247492,-14.074313,7.087300999999999,-5.622e-05,3.584e-05,-1.009e-05,4.08306663855675,0.3866028995356,-3.5404488649930557e-06,-5.797692879999999e-07,,,,1,119031,,0.002582260190634593,,,,3778.5271011150085
119030,119032,,,,Gl 592,,,15.616248,-14.132335000000001,13.089,-454.77,-621.36,0.0,12.7,12.115,M4,1.58,-7.41696,-10.300351,-3.195841,-1.78e-05,2.467e-05,-3.823e-05,4.088324121641247,-0.24665578467185,-2.2047871750625e-06,-3.012433437e-06,,,,1,119032,,0.0012416523075924096,,,,3677.014628784035
119032,119034,,,,GJ 1194A,,,15.667113,43.492188,13.6426,1170.96,-342.41,-108.0,12.48,11.806,m,1.57,-5.672725,-8.105364,9.385795,0.00010046,8.43e-06,-9.245e-05,4.101640712713692,0.7590818817466,5.676974273833333e-06,-1.6600650680000001e-06,,,,1,119034,GJ 1194,0.0016504409856522755,,,,3691.1685428724395
119033,119035,,,,GJ 1194B,,,15.667391,43.490538,13.6426,1170.96,-342.41,0.0,13.8,13.126,m,,-5.674589,-8.10928,9.389312,5.449e-05,-5.719e-05,-1.643e-05,4.101713459713692,0.7590530807465999,5.676974273833333e-06,-1.6600650680000001e-06,,,,2,119034,GJ 1194,0.0004893279240819371,,,,
119034,119036,,,,NN 3914,,,15.722235999999999,-30.932534000000004,25.0,-362.69,-344.18,0.0,13.1,11.11,m,,-12.043375,-17.743064999999998,-12.850710000000001,-2.433e-05,4.242e-05,-3.578e-05,4.116071716463098,-0.5398745648590499,-1.7583707380069443e-06,-1.668617181e-06,,,,1,119036,,0.003133285724315586,,,,
